,Rank,Name,Gender,Age,Finish,Pace,Strava Activity,athlet_url,race_url,Watch,Shoes,Distance
2611,2611,David Wood,M,25-34,3:49:33,5:26/km,Boston Marathon 2016,/athletes/14291305,/activities/549695789,GPX,—,42.49
2612,2612,Kim Jablonski,F,45-54,3:49:34,5:26/km,Boston Marathon,/athletes/3547835,/activities/549596049,Strava iPhone App,—,42.78
2613,2613,Dave Lancour,M,,3:49:34,5:26/km,Boston Marathon,/athletes/13122852,/activities/549708372,Garmin Forerunner 225,—,42.41
2614,2614,Moses Lee,M,55-64,3:49:34,5:26/km,The Boston Marathon,/athletes/5233742,/activities/565821402,Garmin Vívoactive,adidas adios boost2(806.0 km),42.6
2615,2615,Rick Heinrich,M,55-64,3:49:34,5:26/km,Morning Run,/athletes/1763381,/activities/604848644,Garmin Forerunner 620,—,42.68
2616,2616,Tracey Turner,F,45-54,3:49:37,5:27/km,Cramps!!  Boston Strong...,/athletes/3637777,/activities/550148040,Garmin Forerunner 920XT,—,42.49
2617,2617,John Burmester,M,55-64,3:49:37,5:27/km,Boston Marathon #5: hip blew at 14 but I ...,/athletes/4076302,/activities/552277339,Garmin Forerunner 210,New Balance Zante(565.3 km),42.49
2618,2618,Michele Liguori,F,45-54,3:49:39,5:27/km,Boston Marathon - Runmeter,/athletes/3626953,/activities/549464377,,—,42.98
2619,2619,Alan W.,M,55-64,3:49:40,5:27/km,Boston marathon. Taking it easy. Blocked ...,/athletes/3418780,/activities/549600370,TomTom,"Brooks Ghost(1,732.8 km)",42.49
2620,2620,Evan B,M,35-44,3:49:42,5:27/km,120th Boston Marathon,/athletes/4911838,/activities/549571269,TomTom,—,42.48
2621,2621,Steve Oliveira,M,45-54,3:49:44,5:27/km,Hopkinton Running,/athletes/4315949,/activities/549558837,Garmin Vívoactive,—,42.48
2622,2622,Colin McNeilly,M,,3:49:46,5:27/km,Morning Run,/athletes/10496081,/activities/556018938,TomTom,—,42.51
2623,2623,Tim Lee,M,45-54,3:49:52,5:27/km,Boston Marathon,/athletes/873647,/activities/549491734,Garmin Forerunner 230,New Balance Fresh Foam Zante(823.8 km),42.66
2624,2624,Will Bowry,M,35-44,3:49:58,5:27/km,#BostonMarathon (forgot to turn timer off...,/athletes/11991036,/activities/549648853,Strava iPhone App,—,42.93
2625,2625,Christiane Cordero,F,25-34,3:49:58,5:27/km,Boston Marathon 2016,/athletes/7161081,/activities/550045386,Garmin Forerunner 620,"New Balance Boracay(1,015.4 km)",42.65
2626,2626,Joel Z. G.,M,55-64,3:50:00,5:27/km,Morning Run,/athletes/1536621,/activities/551564798,Garmin Forerunner 410,—,42.43
